Register	Address	Value1	Value2
FLG	0000	---	---
ENABLE	0001	---	---
WE1	0002	01	FE
WE2	0003	02	FD
WE3	0004	03	FC
WE4	0005	04	FB
WE5	0006	05	FA
RVLD1	0007	06	F9
RVLD2	0008	07	F8
RVLD3	0009	08	F7
RVLD4	000A	09	F6
RVLD5*	000B	02	01
SEQ0A*	000C	0A	15
SEQ0B*	000D	0B	14
SEQ1A*	000E	0C	13
SEQ1B*	000F	0D	12
RECT1	0010	0E	F1
RECT2	0011	0F	F0
RECT3	0012	10	EF
RECT4	0013	11	EE
RECT5	0014	12	ED
RECT6	0015	13	EC
CIM0*	0016	14	0B
CIM1*	0017	15	0A
CIM_GCL*	0018	16	69
CIM_GCU*	0019	05	02
SH_PHASE*	001A	17	08
SH_DELAYL	001B	18	E7
SH_DELAYU	001C	19	E6
HV_CTRL*	001D	07	08
CM_CTRL*	001E	1A	25
VG_CTRL*	001F	07	18
BC_CTRL0*	0020	1B	24
BC_CTRL1*	0021	1C	23
BG_CTRL	0022	1D	E2
PGO_CTRL	0023	1E	E1
CG_CTRL	0024	98	67
WFD_CTRL*	0025	09	06
ACCA	0026	---	---
ACCB	0027	---	---
ACCC	0028	---	---
WDAC	0029	---	---
SEQSTATE	002A	---	---
CPH	002B	---	---
TESTEN	002C	1F	E0
TESTSEL	002D	---	---
ATSTCTRL0	002E	---	---
ATSTCTRL1	002F	---	---
ATSTCTRL2	0030	---	---
ATSTCTRL3	0031	---	---
ATSTCTRL4	0032	---	---
---	0033	---	---
---	0034	---	---
---	0035	---	---
---	0036	---	---
---	0037	---	---
---	0038	---	---
---	0039	---	---
---	003A	---	---
---	003B	---	---
---	003C	---	---
---	003D	---	---
---	003E	---	---
---	003F	---	---
PH1.CTL1*	0040	20	D7
PH1.CTL2*	0041	21	1E
PH1.STPA	0042	22	DD
PH1.STPB	0043	23	DC
PH1.STPC	0044	24	DB
PH1.OFST	0045	25	DA
PH1.DLYL	0046	26	D9
PH1.DLYU	0047	27	D8
PH1.CDIV	0048	28	D7
PH1.AMP1L	0049	29	D6
PH1.AMP1U*	004A	2A	15
PH1.AMP2L	004B	2B	D4
PH1.AMP2U*	004C	2C	13
PH1.AMP3L	004D	2D	D2
PH1.AMP3U*	004E	2E	11
PH1.AMP4L	004F	2F	D0
PH1.AMP4U*	0050	30	0F
PH1.AMP5L	0051	31	CE
PH1.AMP5U*	0052	32	0D
PH1.AMP6L	0053	33	CC
PH1.AMP6U*	0054	34	0B
PH1.AMP7L	0055	35	CA
PH1.AMP7U*	0056	36	09
PH1.AMP8L	0057	37	C8
PH1.AMP8U*	0058	38	07
PH1.AMP9L	0059	39	C6
PH1.AMP9U*	005A	3A	05
PH1.AMP10L	005B	3B	C4
PH1.AMP10U*	005C	3C	03
PH1.AMP11L	005D	3D	C2
PH1.AMP11U*	005E	3E	01
PH1.AMP12L	005F	3F	C0
PH1.AMP12U*	0060	02	3D
PH1.AMP13L	0061	40	BF
PH1.AMP13U*	0062	03	3C
PH1.AMP14L	0063	41	BE
PH1.AMP14U*	0064	04	3B
PH1.AMP15L	0065	42	BD
PH1.AMP15U*	0066	05	3A
PH1.AMP16L	0067	43	BC
PH1.AMP16U*	0068	06	39
PH1.AMP17L	0069	44	BB
PH1.AMP17U*	006A	07	38
PH1.AMP18L	006B	45	BA
PH1.AMP18U*	006C	08	37
PH1.AMP19L	006D	46	B9
PH1.AMP19U*	006E	09	36
PH1.AMP20L	006F	47	B8
PH1.AMP20U*	0070	0A	35
PH1.AMP21L	0071	48	B7
PH1.AMP21U*	0072	0B	34
PH1.AMP22L	0073	49	B6
PH1.AMP22U*	0074	0C	33
PH1.AMP23L	0075	4A	B5
PH1.AMP23U*	0076	0D	32
PH1.AMP24L	0077	4B	B4
PH1.AMP24U*	0078	0E	31
PH1.AMP25L	0079	4C	B3
PH1.AMP25U*	007A	0F	30
PH1.AMP26L	007B	4D	B2
PH1.AMP26U*	007C	10	2F
PH1.PG_TIMEOUT	007D	4E	B1
---	007E	---	---
---	007F	---	---
PH2.CTL1*	0080	50	A7
PH2.CTL2*	0081	11	2E
PH2.STPA	0082	51	AE
PH2.STPB	0083	52	AD
PH2.STPC	0084	53	AC
PH2.OFST	0085	54	AB
PH2.DLYL	0086	55	AA
PH2.DLYU	0087	56	A9
PH2.CDIV	0088	57	A8
PH2.AMP1L	0089	58	A7
PH2.AMP1U*	008A	12	2D
PH2.AMP2L	008B	59	A6
PH2.AMP2U*	008C	13	2C
PH2.AMP3L	008D	5A	A5
PH2.AMP3U*	008E	14	2B
PH2.AMP4L	008F	5B	A4
PH2.AMP4U*	0090	15	2A
PH2.AMP5L	0091	5c	A3
PH2.AMP5U*	0092	16	29
PH2.AMP6L	0093	5D	A2
PH2.AMP6U*	0094	17	28
PH2.AMP7L	0095	5E	A1
PH2.AMP7U*	0096	18	27
PH2.AMP8L	0097	5F	A0
PH2.AMP8U*	0098	19	26
PH2.AMP9L	0099	60	9F
PH2.AMP9U*	009A	1A	25
PH2.AMP10L	009B	61	9E
PH2.AMP10U*	009C	1B	24
PH2.AMP11L	009D	62	9D
PH2.AMP11U*	009E	1C	23
PH2.AMP12L	009F	63	9C
PH2.AMP12U*	00A0	1D	22
PH2.AMP13L	00A1	64	9B
PH2.AMP13U*	00A2	1E	21
PH2.AMP14L	00A3	65	9A
PH2.AMP14U*	00A4	1F	20
PH2.AMP15L	00A5	66	99
PH2.AMP15U*	00A6	20	1F
PH2.AMP16L	00A7	67	98
PH2.AMP16U*	00A8	21	1E
PH2.AMP17L	00A9	68	97
PH2.AMP17U*	00AA	22	1D
PH2.AMP18L	00AB	69	96
PH2.AMP18U*	00AC	23	1C
PH2.AMP19L	00AD	6A	95
PH2.AMP19U*	00AE	24	1B
PH2.AMP20L	00AF	6B	94
PH2.AMP20U*	00B0	25	1A
PH2.AMP21L	00B1	6C	93
PH2.AMP21U*	00B2	26	19
PH2.AMP22L	00B3	6D	92
PH2.AMP22U*	00B4	27	18
PH2.AMP23L	00B5	6E	91
PH2.AMP23U*	00B6	28	17
PH2.AMP24L	00B7	6F	90
PH2.AMP24U*	00B8	29	16
PH2.AMP25L	00B9	70	8F
PH2.AMP25U*	00BA	2A	15
PH2.AMP26L	00BB	71	8E
PH2.AMP26U*	00BC	2B	14
PH2.PG_TIMEOUT	00BD	72	8D
---	00BE	---	---
---	00BF	---	---
PH3.CTL1*	00C0	73	84
PH3.CTL2*	00C1	2C	13
PH3.STPA	00C2	74	8B
PH3.STPB	00C3	75	8A
PH3.STPC	00C4	76	89
PH3.OFST	00C5	77	88
PH3.DLYL	00C6	78	87
PH3.DLYU	00C7	79	86
PH3.CDIV	00C8	7A	85
PH3.AMP1L	00C9	7B	84
PH3.AMP1U*	00CA	2D	12
PH3.AMP2L	00CB	7C	83
PH3.AMP2U*	00CC	2E	11
PH3.AMP3L	00CD	7D	82
PH3.AMP3U*	00CE	2F	10
PH3.AMP4L	00CF	7E	81
PH3.AMP4U*	00D0	30	0F
PH3.AMP5L	00D1	7F	80
PH3.AMP5U*	00D2	31	0E
PH3.AMP6L	00D3	80	7F
PH3.AMP6U*	00D4	32	0D
PH3.AMP7L	00D5	81	7E
PH3.AMP7U*	00D6	33	0C
PH3.AMP8L	00D7	82	7D
PH3.AMP8U*	00D8	34	0B
PH3.AMP9L	00D9	83	7C
PH3.AMP9U*	00DA	35	0A
PH3.AMP10L	00DB	84	7B
PH3.AMP10U*	00DC	36	09
PH3.AMP11L	00DD	85	7A
PH3.AMP11U*	00DE	37	08
PH3.AMP12L	00DF	86	79
PH3.AMP12U*	00E0	38	07
PH3.AMP13L	00E1	87	78
PH3.AMP13U*	00E2	39	06
