11,000E,417,17,14,1047
8,9,029D,8,9,669
9,7,02A2,9,7,674
003B,50,02A8,59,80,680
58,79,02A2,88,121,674
33,005E,029F,51,94,671
46,005B,02A1,70,91,673
53,61,02A8,83,97,680
004F,78,291,79,120,657
46,81,296,70,129,662
004F,020A,299,79,522,665
48,199,029D,72,409,669
89,01B1,02A0,137,433,672
008B,163,02A1,139,355,673
67,01C5,029C,103,453,668
69,207,02A4,105,519,676
005C,226,02A1,92,550,673
62,137,029F,98,311,671
90,027B,02A2,144,635,674
58,01B9,02A1,88,441,673
006B,192,299,107,402,665
008D,01C6,029E,141,454,670
67,00D5,02A6,103,213,678
59,02B7,02A1,89,695,673
008B,01D2,02A7,139,466,679
59,018A,02A3,89,394,675
69,01C2,029F,105,450,671
77,01C5,02A2,119,453,674
004C,022A,029F,76,554,671
72,013C,029A,114,316,666
007D,1.00E+00,02A6,125,480,678
70,169,02A8,112,361,680
006B,02D6,02A8,107,726,680
73,013E,02A4,115,318,676
60,01A3,02A9,96,419,681
60,025B,02A0,96,603,672
58,181,02A1,88,385,673
006C,022D,029D,108,557,669
62,01DB,02A3,98,475,675
005A,01B1,02A8,90,433,680
58,281,02A4,88,641,676
60,013B,029F,96,315,671
52,01FB,029C,82,507,668
73,172,02A2,115,370,674
006C,1.00E+06,02A2,108,486,674
49,1.00E+08,02A2,73,488,674
005F,01C1,02A4,95,449,676
50,01B8,02A5,80,440,677
75,144,02A3,117,324,675
006A,227,02A3,106,551,675
64,160,02A3,100,352,675
50,1.00E+00,02AA,80,480,682
005A,01B6,02AE,90,438,686
006C,011F,02AB,108,287,683
005D,019E,02AC,93,414,684
006D,01D2,02AA,109,466,682
004E,01A4,02A4,78,420,676
92,016B,02A9,146,363,681
57,187,02A1,87,391,673
55,107,02A1,85,263,673
78,1.00E+07,02A7,120,487,679
65,013A,02AE,101,314,686
60,012C,02A8,96,300,680
66,018E,02A0,102,398,672
68,00BD,02A1,104,189,673
54,160,029D,84,352,669
62,00B8,029D,98,184,669
413,96,02A1,1043,150,673
008F,72,02A6,143,114,678
56,72,02A6,86,114,678
003A,005B,02A3,58,91,675
004D,006F,02AA,77,111,682
004A,60,02A5,74,96,677
45,005D,02A4,69,93,676
67,64,02A7,103,100,679
58,59,02A6,88,89,678
50,57,02AE,80,87,686
004E,005A,02A8,78,90,680
59,005D,02A1,89,93,673
48,005F,02AE,72,95,686
52,72,02A6,82,114,678
003A,97,02A1,58,151,673
004A,005C,02AD,74,92,685
005F,75,02B2,95,117,690
004C,62,02A6,76,98,678
42,60,02AB,66,96,683
54,007C,02A7,84,124,679
56,005E,02A4,86,94,676
005B,67,02A6,91,103,678
65,68,02A6,101,104,678
003F,66,029F,63,102,671
56,78,02A8,86,120,680
004A,006F,02AC,74,111,684
49,005F,02A9,73,95,681
57,006A,02AB,87,106,683
48,00AE,02A6,72,174,678
003D,006E,02A5,61,110,677
65,006B,02A9,101,107,681
45,00B4,02A2,69,180,674
004D,73,02AA,77,115,682
005B,62,02B4,91,98,692
48,006B,02A8,72,107,680
54,72,02A5,84,114,677
006F,006C,02AA,111,108,682
52,00A9,02A8,82,169,680
004D,005B,02A9,77,91,681
52,75,02AA,82,117,682
004A,60,02AF,74,96,687
46,61,02AB,70,97,683
57,62,02AC,87,98,684
003B,60,02A8,59,96,680
56,67,02A5,86,103,677
004B,67,02A4,75,103,676
58,62,02A6,88,98,678
005D,76,02A7,93,118,679
004C,69,02A1,76,105,673
46,67,02A2,70,103,674
006E,006E,02A7,110,110,679
46,006C,02A1,70,108,673
49,005A,02A0,73,90,672
005F,64,02A7,95,100,679
005D,63,02AB,93,99,683
51,67,02AC,81,103,684
00C9,73,02AA,201,115,682
77,77,02A9,119,119,681
04F7,00C0,02A2,1271,192,674
02F8,00B1,02A8,760,177,680
024F,00D2,02AC,591,210,684
501,011D,02AA,1281,285,682
02F5,85,02AC,757,133,684
02BA,00FC,02AA,698,252,682
055B,00A7,02A8,1371,167,680
055C,00C8,02AD,1372,200,685
01D5,153,02A4,469,339,676
057A,00D2,02A9,1402,210,681
267,007D,02A6,615,125,678
278,106,02A9,632,262,681
372,104,02AD,882,260,685
02CB,007D,02A8,715,125,680
030A,00EE,02A4,778,238,676
378,104,02A5,888,260,677
01D9,00F6,02A1,473,246,673
045C,00B4,02A6,1116,180,678
02BE,016D,02A8,702,365,680
02A9,00B9,02A0,681,185,672
308,00FE,02AF,776,254,687
028F,010A,02B3,655,266,691
02B0,95,02AC,688,149,684
025C,010C,02A8,604,268,680
04BE,0.00E+00,02B6,1214,230,694
025A,00ED,02BA,602,237,698
03B0,00C3,02B7,944,195,695
01BF,116,02B7,447,278,695
238,00AC,02A6,568,172,678
016F,00A7,02B9,367,167,697
01D9,014A,02A1,473,330,673
01C1,103,02A3,449,259,675
263,81,02AA,611,129,682
01D2,00A5,02A9,466,165,681
026C,170,02B1,620,368,689
01C3,84,02AA,451,132,682
01A1,00F7,02A6,417,247,678
021E,011F,02A6,542,287,678
022B,00B6,029D,555,182,669
01DC,00BC,02A5,476,188,677
198,008C,02A7,408,140,679
00F2,0.00E+00,02AC,242,232,684
144,108,02AA,324,264,682
1.00E+07,86,02A4,487,134,676
0.00E+00,00EF,02AE,229,239,686
02C4,008D,02A7,708,141,679
1.00E+04,0.00E+00,02AA,484,233,682
014D,0.00E+00,02AC,333,225,684
163,97,02AA,355,151,682
01D1,00D2,02AD,465,210,685
00C4,008C,02AC,196,140,684
01FA,81,02AA,506,129,682
00CF,011F,02AB,207,287,683
249,66,02A3,585,102,675
51,81,02AB,81,129,683
006C,005C,02B0,108,92,688
68,006C,02AF,104,108,687
50,006B,02B0,80,107,688
85,60,02A9,133,96,681
38,006E,02B0,56,110,688
54,69,02A7,84,105,679
45,006A,02A8,69,106,680
42,66,02A7,66,102,679
52,73,02A7,82,115,679
44,83,02A9,68,131,681
60,008D,02A7,96,141,679
54,62,02AA,84,98,682
52,66,02A6,82,102,678
004C,73,02AC,76,115,684
005E,00A8,02AE,94,168,686
42,75,02AA,66,117,682
75,67,02AD,117,103,685
61,69,02AE,97,105,686
003F,00B0,02B1,63,176,689
004D,83,02AC,77,131,684
53,95,02A9,83,149,681
004B,82,02B1,75,130,689
76,79,02A9,118,121,681
40,67,02AB,64,103,683
93,00BA,02AD,147,186,685
55,006F,02AD,85,111,685
49,69,02AB,73,105,683
55,00AC,02A9,85,172,681
56,005A,02A7,86,90,679
47,61,02A7,71,97,679
54,67,02A7,84,103,679
58,76,02A7,88,118,679
73,00A4,02A2,115,164,674
005D,68,02A4,93,104,676
50,006A,02A6,80,106,678
006C,68,02A6,108,104,678
52,00B2,02A7,82,178,679
44,006B,02A9,68,107,681
69,62,02AB,105,98,683
007E,71,02A7,126,113,679
56,63,02AB,86,99,683
59,00C5,02AE,89,197,686
007F,67,02B1,127,103,689
48,006B,02A7,72,107,679
55,71,02AC,85,113,684
007C,83,02AD,124,131,685
50,005E,02B1,80,94,689
005B,007B,02AF,91,123,687
50,76,02AD,80,118,685
003B,65,02A9,59,101,681
51,71,02A9,81,113,681
72,69,02A8,114,105,680
51,006E,02AE,81,110,686
54,66,02AA,84,102,682
56,63,02AC,86,99,684
46,72,02A9,70,114,681
004A,155,02AB,74,341,683
004D,230,02A6,77,560,678
53,0.00E+00,02A8,83,226,680
006C,01C2,02A8,108,450,680
